latitude,longitude,brightness,scan,track,acquisition_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,confidence_raw,acquisition_time,distance_to_industry,nearest_industry,industry_type,industrial_association,classification,risk_score,risk_level
29.46,76.86426,367.0,0.53,0.67,2026-08-22,705,N21,VIIRS,95.0,2.0NRT,290.49,52.02,D,h,0705,92.27,Fallback_0003,chemical,DISTANT,WILDFIRE,80,HIGH
29.45838,76.86343,367.0,0.53,0.67,2026-08-22,705,N21,VIIRS,95.0,2.0NRT,291.86,44.95,D,h,0705,92.14,Fallback_0003,chemical,DISTANT,WILDFIRE,80,HIGH
35.77931,71.34283,367.0,0.73,0.76,2026-08-22,707,N21,VIIRS,95.0,2.0NRT,304.68,30.81,D,h,0707,1019.67,Fallback_0003,chemical,NONE,WILDFIRE,75,HIGH
35.78063,71.341,367.0,0.73,0.76,2026-08-22,707,N21,VIIRS,95.0,2.0NRT,304.06,18.94,D,h,0707,1019.91,Fallback_0003,chemical,NONE,WILDFIRE,75,HIGH
29.45792,76.86768,352.46,0.49,0.65,2026-08-22,845,N21,VIIRS,70.0,2.0NRT,292.96,24.83,D,n,0845,91.91,Fallback_0003,chemical,DISTANT,WILDFIRE,75,HIGH
29.45823,76.87273,350.27,0.49,0.65,2026-08-22,845,N21,VIIRS,70.0,2.0NRT,291.98,24.83,D,n,0845,91.72,Fallback_0003,chemical,DISTANT,WILDFIRE,75,HIGH
29.47683,76.85993,341.77,0.5,0.49,2026-08-23,828,N21,VIIRS,70.0,2.0NRT,293.84,11.04,D,n,0828,94.18,Fallback_0003,chemical,DISTANT,WILDFIRE,75,HIGH
8.84246,80.37051,367.0,0.32,0.55,2026-08-26,726,N21,VIIRS,95.0,2.0NRT,290.49,7.96,D,h,0726,437.54,Fallback_0065,refinery,NONE,WILDFIRE,70,HIGH
8.60579,80.39751,354.43,0.45,0.47,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,298.12,21.15,D,n,0822,463.98,Fallback_0065,refinery,NONE,WILDFIRE,70,HIGH
8.0778,80.77473,354.42,0.47,0.48,2026-08-23,822,N21,VIIRS,70.0,2.0NRT,299.72,29.48,D,n,0822,527.41,Fallback_0065,refinery,NONE,WILDFIRE,70,HIGH
8.51637,80.55676,353.27,0.49,0.65,2026-08-22,839,N21,VIIRS,70.0,2.0NRT,292.62,10.44,D,n,0839,475.77,Fallback_0065,refinery,NONE,WILDFIRE,70,HIGH
35.78179,71.34469,349.24,0.73,0.76,2026-08-22,707,N21,VIIRS,70.0,2.0NRT,304.57,18.94,D,n,0707,1019.75,Fallback_0003,chemical,NONE,WILDFIRE,70,HIGH
9.41199,80.39674,348.8,0.4,0.37,2026-08-24,803,N21,VIIRS,70.0,2.0NRT,302.54,15.33,D,n,0803,374.94,Fallback_0065,refinery,NONE,WILDFIRE,70,HIGH
