latitude,longitude,brightness,scan,track,acquisition_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,confidence_raw,acquisition_time
28.80681,71.14798,333.4,0.53,0.67,2026-08-26,911,N21,VIIRS,70,2.0NRT,297.69,2.24,D,n,0911
21.10424,72.64529,332.55,0.55,0.68,2026-08-26,909,N21,VIIRS,70,2.0NRT,288.95,7.18,D,n,0909
21.10633,72.64521,332.78,0.55,0.68,2026-08-26,909,N21,VIIRS,70,2.0NRT,288.69,6.43,D,n,0909
21.10038,72.63611,334.04,0.61,0.71,2026-08-26,731,N21,VIIRS,70,2.0NRT,287.11,6.31,D,n,0731
29.33118,70.35696,330.0,0.54,0.68,2026-08-26,731,N21,VIIRS,70,2.0NRT,298.5,2.09,D,n,0731
29.64449,71.71342,330.87,0.44,0.62,2026-08-26,731,N21,VIIRS,70,2.0NRT,296.26,2.84,D,n,0731
29.76768,72.25974,348.33,0.41,0.6,2026-08-26,731,N21,VIIRS,70,2.0NRT,297.98,8.22,D,n,0731
29.76867,72.26379,333.72,0.41,0.6,2026-08-26,731,N21,VIIRS,70,2.0NRT,297.6,6.15,D,n,0731
30.34867,74.23013,338.78,0.6,0.53,2026-08-26,731,N21,VIIRS,70,2.0NRT,299.85,6.85,D,n,0731
30.64766,73.95101,334.29,0.62,0.54,2026-08-26,731,N21,VIIRS,70,2.0NRT,299.95,6.69,D,n,0731
30.65028,73.94928,332.22,0.62,0.54,2026-08-26,731,N21,VIIRS,70,2.0NRT,299.86,6.71,D,n,0731
30.89061,73.20031,330.44,0.34,0.56,2026-08-26,731,N21,VIIRS,30,2.0NRT,304.85,7.27,D,l,0731
31.6122,72.50623,331.82,0.36,0.57,2026-08-26,731,N21,VIIRS,70,2.0NRT,297.45,1.45,D,n,0731
31.62439,72.42012,331.17,0.36,0.57,2026-08-26,731,N21,VIIRS,70,2.0NRT,296.93,2.94,D,n,0731
33.26753,71.30682,333.29,0.38,0.59,2026-08-26,731,N21,VIIRS,70,2.0NRT,296.65,1.67,D,n,0731
15.62259,79.18162,334.29,0.59,0.53,2026-08-26,729,N21,VIIRS,70,2.0NRT,292.53,6.57,D,n,0729
15.62631,79.17872,330.99,0.59,0.53,2026-08-26,729,N21,VIIRS,70,2.0NRT,291.27,4.14,D,n,0729
16.40067,79.36681,335.24,0.55,0.51,2026-08-26,729,N21,VIIRS,70,2.0NRT,293.52,8.29,D,n,0729
16.83534,79.16514,330.52,0.56,0.51,2026-08-26,729,N21,VIIRS,70,2.0NRT,291.87,3.28,D,n,0729
17.60913,83.20387,331.24,0.47,0.4,2026-08-26,729,N21,VIIRS,30,2.0NRT,296.24,9.96,D,l,0729
21.67331,84.0409,329.78,0.4,0.37,2026-08-26,729,N21,VIIRS,30,2.0NRT,295.02,4.73,D,l,0729
21.67999,84.03966,332.83,0.4,0.37,2026-08-26,729,N21,VIIRS,30,2.0NRT,296.61,9.21,D,l,0729
22.21023,84.86258,331.63,0.39,0.36,2026-08-26,729,N21,VIIRS,70,2.0NRT,293.69,3.63,D,n,0729
22.21333,84.83915,330.66,0.39,0.36,2026-08-26,729,N21,VIIRS,70,2.0NRT,291.48,2.79,D,n,0729
22.21391,84.84286,330.93,0.39,0.36,2026-08-26,729,N21,VIIRS,70,2.0NRT,291.89,3.38,D,n,0729
22.21468,84.8694,334.29,0.39,0.36,2026-08-26,729,N21,VIIRS,70,2.0NRT,293.07,5.23,D,n,0729
8.22948,80.75656,331.79,0.62,0.54,2026-08-26,726,N21,VIIRS,70,2.0NRT,286.42,8.01,D,n,0726
8.23048,80.7622,332.97,0.62,0.54,2026-08-26,726,N21,VIIRS,70,2.0NRT,287.73,8.01,D,n,0726
8.24221,80.80006,339.73,0.62,0.54,2026-08-26,726,N21,VIIRS,70,2.0NRT,289.42,17.43,D,n,0726
8.37619,81.05578,342.02,0.59,0.53,2026-08-26,726,N21,VIIRS,70,2.0NRT,282.19,19.03,D,n,0726
8.40903,80.51687,332.19,0.32,0.55,2026-08-26,726,N21,VIIRS,70,2.0NRT,286.87,3.13,D,n,0726
8.40953,80.51969,335.49,0.32,0.55,2026-08-26,726,N21,VIIRS,70,2.0NRT,287.25,3.13,D,n,0726
8.4115,81.06059,331.68,0.59,0.53,2026-08-26,726,N21,VIIRS,70,2.0NRT,288.35,5.23,D,n,0726
8.47969,80.36192,332.81,0.33,0.55,2026-08-26,726,N21,VIIRS,70,2.0NRT,284.05,10.08,D,n,0726
8.48021,80.36486,355.46,0.33,0.55,2026-08-26,726,N21,VIIRS,30,2.0NRT,283.93,10.44,D,l,0726
8.67752,80.97379,329.78,0.59,0.53,2026-08-26,726,N21,VIIRS,70,2.0NRT,291.95,5.94,D,n,0726
8.84246,80.37051,367.0,0.32,0.55,2026-08-26,726,N21,VIIRS,95,2.0NRT,290.49,7.96,D,h,0726
8.85957,80.99957,340.35,0.58,0.52,2026-08-26,726,N21,VIIRS,70,2.0NRT,293.58,11.11,D,n,0726
8.9117,80.47472,338.16,0.63,0.54,2026-08-26,726,N21,VIIRS,70,2.0NRT,289.9,11.6,D,n,0726
9.23741,80.32394,332.77,0.32,0.55,2026-08-26,726,N21,VIIRS,70,2.0NRT,290.25,1.76,D,n,0726
