name,latitude,longitude,type,data_source,osm_id,osm_type,industry_type,risk_category
Industrial Facility 00001,19.208005,72.929854,power_plant,SYNTHETIC_FALLBACK,,,Food Processing,HIGH
Industrial Facility 00002,28.555246,77.345185,mining,SYNTHETIC_FALLBACK,,,Pharmaceutical,MEDIUM
Industrial Facility 00003,22.656154,88.352215,chemical,SYNTHETIC_FALLBACK,,,Automobile,MEDIUM
Industrial Facility 00004,12.970963,80.235194,power_plant,SYNTHETIC_FALLBACK,,,Chemical,LOW
Industrial Facility 00005,17.236092,78.529365,chemical,SYNTHETIC_FALLBACK,,,Manufacturing,LOW
Industrial Facility 00006,23.140043,72.580235,cement,SYNTHETIC_FALLBACK,,,Electronics,MEDIUM
Industrial Facility 00007,26.842434,75.775375,mining,SYNTHETIC_FALLBACK,,,Food Processing,HIGH
Industrial Facility 00008,21.152768,79.198034,cement,SYNTHETIC_FALLBACK,,,Electronics,LOW
Industrial Facility 00009,15.244245,73.96873,power_plant,SYNTHETIC_FALLBACK,,,Manufacturing,HIGH
Industrial Facility 00010,25.644072,92.021128,chemical,SYNTHETIC_FALLBACK,,,Food Processing,MEDIUM
Industrial Facility 00011,20.433871,85.946086,power_plant,SYNTHETIC_FALLBACK,,,Petrochemical,HIGH
Industrial Facility 00012,22.834394,86.118305,lng_terminal,SYNTHETIC_FALLBACK,,,Electronics,HIGH
Industrial Facility 00013,21.156478,81.588499,steel_mill,SYNTHETIC_FALLBACK,,,Electronics,LOW
Industrial Facility 00014,19.080404,72.947339,chemical,SYNTHETIC_FALLBACK,,,Steel,LOW
Industrial Facility 00015,28.576092,77.150798,cement,SYNTHETIC_FALLBACK,,,Food Processing,HIGH
Industrial Facility 00016,22.678484,88.279509,steel_mill,SYNTHETIC_FALLBACK,,,Pharmaceutical,HIGH
Industrial Facility 00017,13.159438,80.198888,mining,SYNTHETIC_FALLBACK,,,Power,MEDIUM
Industrial Facility 00018,17.26684,78.455049,refinery,SYNTHETIC_FALLBACK,,,Textile,LOW
Industrial Facility 00019,23.053864,72.666934,steel_mill,SYNTHETIC_FALLBACK,,,Automobile,LOW
